NSC	CAS	Generic Name	Preffered Name	Projects	Primary Target
758257	1234015-54-3	prexasertib	LY-2606368	Investigational 	Chk1
761188	911222-45-2	rabusertib	LY-2603618	Investigational 	Chk1
763444	952021-60-2		PF-477736	Investigational 	Chk1
764659	891494-63-6		SCH-900776	Investigational 	Chk1
791163	1200129-48-1		RG-7602	Investigational 	Chk1
793726	1489389-18-5		CCT-245737	Investigational 	Chk1
741899	516480-79-8		BML-277	Investigational 	Chk2
776821	1262849-73-9		CCT-241533	Investigational 	Chk2
761193	1009820-21-6	silmitasertib	CX-4945	Investigational 	CK2
719627	169590-42-5	celecoxib	CEP-33222	Approved 	COX-2
772595	1333151-73-7		KPT-185	Investigational 	CRM1
773260	1388841-50-6		KPT-251	Investigational 	CRM1
780203	1393477-72-9	selinexor	KPT-330	Investigational 	CRM1
754345	1149939-55-8		JNJ-28312141	Investigational 	CSF-1R
758006	953769-46-5		BLZ-945	Investigational 	CSF-1R
789300	1029044-16-3	pexidartinib	PLX-3397	Investigational 	CSF-1R
761388	110078-46-1	plerixafor	AMD-3100	Approved 	CXCR4
775637	558447-26-0		AMD-070	Investigational 	CXCR4
122758	302-79-4	tretinoin	Retenoic Acid	Approved 	Differentiator
740	59-05-2	methotrexate	CL-14377	Approved 	Dihydrofolate reductase
754230	146464-95-1	pralatrexate		Approved 	Dihydrofolate reductase
750	55-98-1	busulfan	KRN-246	Approved 	DNA alkylator or DNA alkylating
762	55-86-7	nitrogen mustard	mechlorethamine	Approved 	DNA alkylator or DNA alkylating
3088	305-03-3	chlorambucil		Approved 	DNA alkylator or DNA alkylating
6396	52-24-4	thiotepa	N,N',N'-triethylenethiophosphoramide	Approved 	DNA alkylator or DNA alkylating
8806	3223-07-2	melphalan hydrochloride	CB-3025	Approved 	DNA alkylator or DNA alkylating
9706	51-18-3	triethylenemelamine		Approved 	DNA alkylator or DNA alkylating
25154	54-91-1	pipobroman	A-8103	Approved 	DNA alkylator or DNA alkylating
26271	6055-19-2	cyclophosphamide		Approved 	DNA alkylator or DNA alkylating
26980	50-07-7	mitomycin C		Approved 	DNA alkylator or DNA alkylating
34462	66-75-1	uracil mustard		Approved 	DNA alkylator or DNA alkylating
45388	4342-03-4	dacarbazine		Approved 	DNA alkylator or DNA alkylating
45923	298-81-7	methoxsalen	8-MOP	Approved 	DNA alkylator or DNA alkylating
77213	366-70-1	procarbazine	Ro-04-6467/1	Approved 	DNA alkylator or DNA alkylating
85998	18883-66-4	streptozocin	U-9889	Approved 	DNA alkylator or DNA alkylating
109724	3778-73-2	ifosfamide	MJF-9325	Approved 	DNA alkylator or DNA alkylating
138783	3543-75-7	bendamustine	SDX-105	Approved 	DNA alkylator or DNA alkylating
362856	85622-93-1	temozolomide	CCRG-81045	Approved 	DNA alkylator or DNA alkylating
409962	154-93-8	carmustine	SK-27702	Approved 	DNA alkylator or DNA alkylating
683863	158440-71-2	irofulven	E-7850	Investigational 	DNA alkylator or DNA alkylating
637037	19916-73-5	O-6-benzylguanine	O6-BG	Investigational 	DNA alkyltransferase
24559	18378-89-7	plicamycin	mithramycin	Approved 	DNA binder
3053	50-76-0	dactinomycin	actinomycin D	Approved 	DNA binding transcriptor
755985	121032-29-9	nelarabine	GW-506U78	Approved 	DNA chain terminator
765775	210829-30-4	gemcitabine elaidate	CO-101	Investigational 	DNA chain terminator
119875	15663-27-1	cisplatin		Approved 	DNA crosslinker
241240	41575-94-4	carboplatin	JM-8	Approved 	DNA crosslinker
266046	61825-94-3	oxaliplatin	RP-54780	Approved 	DNA crosslinker
758490	181630-15-9	picoplatin	AMD-473	Investigational 	DNA crosslinker
130181	27314-97-2		tirapazamine	Investigational 	DNA damaging
686288	165179-35-1		aminoflavone	Investigational 	DNA damaging
